timestamp_utc,status,state,category,description,url,local_path,bytes,error
2026-05-23T21:55:42.011861+00:00,skipped_exists,hawaii,enrollment,HIDOE official enrollment counts 2025-26,https://hawaiipublicschools.org/wp-content/uploads/HIDOEenrollment_2025-26.xlsx,data\raw\hawaii\enrollment\HIDOEenrollment_2025-26.xlsx,41551,
2026-05-23T21:55:42.412875+00:00,downloaded,hawaii,other,HIDOE Title I schools list 2025-26 (PDF),https://hawaiipublicschools.org/wp-content/uploads/TitleI-2025-26-revised-122025.pdf,data\raw\hawaii\other\TitleI-2025-26-revised-122025.pdf,69643,
2026-05-23T21:55:43.434676+00:00,skipped_exists,virginia,test_scores,Virginia SOL state pass rates by test 2017-2023 (Open Data),https://data.virginia.gov/dataset/5002d90c-8f8a-45b8-b72f-7ccf99b85438/resource/eed1d4b3-633e-496e-820b-b13115b81e4f/download/state_pass_rates_by_test_2017-2023.xlsx,data\raw\virginia\test_scores\state_pass_rates_by_test_2017-2023.xlsx,13280,
2026-05-23T23:09:08.432225+00:00,skipped_exists,hawaii,enrollment,HIDOE official enrollment counts 2025-26,https://hawaiipublicschools.org/wp-content/uploads/HIDOEenrollment_2025-26.xlsx,data\raw\hawaii\enrollment\HIDOEenrollment_2025-26.xlsx,41551,
2026-05-23T23:09:08.707050+00:00,skipped_exists,hawaii,other,HIDOE Title I schools list 2025-26 (PDF),https://hawaiipublicschools.org/wp-content/uploads/TitleI-2025-26-revised-122025.pdf,data\raw\hawaii\other\TitleI-2025-26-revised-122025.pdf,69643,
2026-05-23T23:09:09.636168+00:00,skipped_exists,virginia,test_scores,Virginia SOL state pass rates by test 2017-2023 (Open Data),https://data.virginia.gov/dataset/5002d90c-8f8a-45b8-b72f-7ccf99b85438/resource/eed1d4b3-633e-496e-820b-b13115b81e4f/download/state_pass_rates_by_test_2017-2023.xlsx,data\raw\virginia\test_scores\state_pass_rates_by_test_2017-2023.xlsx,13280,
2026-05-23T23:13:44.269834+00:00,downloaded,virginia,other,Local and Regional Schools and Centers 2021 - 2022 — 2021-22-local-and-regional-schools,https://data.virginia.gov/dataset/89a641ec-9df2-4e40-bf49-160a9b7d3cee/resource/570a9ea5-5397-4c46-ae91-c0fe588a4925/download/2021-22-local-and-regional-schools-3-1.xlsx,data\raw\virginia\other\2021-22-local-and-regional-schools-3-1.xlsx,12367,
2026-05-23T23:13:45.764821+00:00,downloaded,virginia,test_scores,Cohort Graduation and Dropout Report 2020 — Cohort Graduation and Dropout Rate 2020,https://data.virginia.gov/dataset/c13dbcbb-92fd-4335-9f41-9d6f41b084eb/resource/19b88afb-e16d-450d-80fe-9dd11fa87f0d/download/cohort_statistics-7.csv,data\raw\virginia\test_scores\cohort_statistics-7.csv,106668,
2026-05-23T23:13:47.502682+00:00,downloaded,virginia,enrollment,2003-2004 Fall Membership School Totals by Grade — 2003-2004 Fall Membership School Totals by Grade ,https://data.virginia.gov/dataset/21daa5fe-7300-4ab6-a063-b40d1713a9b3/resource/fa15b15e-79f6-4df8-b327-888f9d73a10b/download/03-stg.xls,data\raw\virginia\enrollment\03-stg.xls,494592,
2026-05-23T23:13:48.978815+00:00,downloaded,virginia,other,Home Schooled Students & Religious Exemptions 2015-16 — Home Schooled Students & Religious Exemptions 2015-16,https://data.virginia.gov/dataset/320b9209-3a70-4e9c-afe5-79c22c971697/resource/23038d5c-08f2-42bb-adb3-9f930861a46c/download/2015_2016.xlsx,data\raw\virginia\other\2015_2016.xlsx,20868,
